Title,Section,Description,Path
,22-2.3,Headlamps on Motor Vehicles and Motorcycles,
,22-2.3,"Lamps, Reflectors, and Flags on Projecting or Extended Loads",
,22-2.3,Use of Multiple-Beam Road-Lighting Equipment,
,22-2.4,Tail Lamps; Illumination of Rear Registration Plate,
,22-2.4,Lamps on Parked Vehicles,
,22-2.5,Reflectors,
,22-2.5,Lamps on Farm Tractors and Farm Equipment,
,22-2.5,Alternate Road-Lighting Equipment,
,22-2.6,Stop Lamps and Turn Signals,
,22-2.6,Lamps on Other Vehicles and Equipment,
,22-2.6,Number of Driving Lamps Required or Permitted,
,22-2.7,"Spot Lamps, Fog Lamps, and Auxiliary Driving Lamps",
,22-2.7,Special Restrictions on Lamps,
,22-2.8,"Clearance, Identification, and Marker Lamps and Reflectors Required",
,22-2.8,Audible and Visual Signals on Vehicles,
,22-2.8,Special Equipment on School Vehicles,
,22-2.9,"Color of Clearance Lamps, Identification Lamps, Side Marker Lamps, Backup Lamps, and Reflectors",
,22-2.9,Signal Lamps and Signal Devices,
,22-3.1,Brake Equipment Required,
,22-3.2,Performance Ability of Brakes,
,22-3.3,Maintenance of Brakes,
,22-3.4,Brakes on Motorcycles,
,22-3.5,Hydraulic Brake Fluid,
,22-4.0,Air Conditioning Equipment,
,22-4.0,Requirements of Electric Bicycles,
,22-4.1,Horns and Warning Devices,
,22-4.1,Metal Frame Required for Rear of Trailers and Semitrailers,
,22-4.2,Mufflers; Prevention of Noise; Discharge of Smoke; Maximum Period of Idling,
,22-4.2,Seat Belts Required,
,22-4.3,Mirrors,
,22-4.3,Protectors or Flaps Behind Rear Wheels of Vehicles,
,22-4.4,Windshields Must Be Unobstructed and Equipped With Wipers,
,22-4.4,Transmission or Reception of Information,
,22-4.5,Tires Generally,
,22-4.5,Odometers,
,22-4.6,Safety Glazing Material in Motor Vehicles,
,22-4.6,Energy Absorption System,
,22-4.7,Certain Vehicles to Carry Flares or Other Warning Devices,
,22-4.7,Seat Back Crash Pads in School Buses,
,22-4.8,Display of Warning Devices When Vehicle Disabled,
,22-4.8,Color of School Vehicles,
,22-4.9,Transportation of Hazardous Materials,
,22-4.9,Counterfeit and Nonfunctional Airbags,
,22-6.0,Sale of Mufflers and Other Abatement Devices,
,22-6.1,Motor Vehicle Operation -- Establishment of Sound Level Limits,
,22-6.1,Operation of a Commercial Motor Vehicle Equipped With Engine Brakes,
,22-6.2,Motor Vehicle Operation -- Operation Not to Exceed Maximum Limits,
,22-6.3,Motor Vehicle Operation -- Regulations for Administration and Enforcement,
,22-6.4,Motor Vehicle Operation -- Exemption of Emergency Vehicles,
,22-6.5,New Motor Vehicles -- Establishment of Sound Level Limits,
,22-6.6,New Motor Vehicles -- Vehicles Not to Exceed Maximum Limits,
,22-6.7,New Motor Vehicles -- Regulations for Administration and Enforcement,
,22-6.8,New Motor Vehicles -- Certificate of Compliance,
,22-6.9,Modification of Exhaust System,
,22-201.1,When Lighted Lamps Are Required,
,22-201.2,Use of Headlights When Windshield Wipers Are Operated,
,22-215.1,Rollback Vehicle Operated in Combination With Vehicle Being Towed,
,22-218.1,Rural Letter Carrier's Warning Device,
,22-218.2,"Amber Lights on Tow Trucks, Escort, and Maintenance Vehicles",
,22-401.1,Bells on Ice Cream Sales Vehicles,
,22-402.1,Alteration of Air Pollution Control Devices,
,22-402.2,"Sale of Vehicles by Dealers With Removed or Altered Emission Control Equipment, Gasoline Tank Filler Inlets, or Crankcase Ventilation Devices",
,22-404.1,Display of Emblems and Signs,
,22-404.2,Display of State Seal on Vehicle,
,22-404.3,Identification of Certain Vehicles,
,22-404.4,Identification Decals for Propane Fueled Vehicles,
,22-404.5,Power Booster Systems Prohibited; Exceptions,
,22-405.1,Regrooved Tires,
,22-405.2,Metal and Other Nonrubber Material in Contact With Road Surface,
,22-405.3,Spare Tires,
,22-405.4,Type of Tires Required on Rear Axle,
,22-405.5,Unsafe Tires,
,22-412.1,"Seat Belts and Other Equipment for Vehicles Used by Nursery Schools, Camps, etc.; Type 1 School Vehicle Excepted",
,22-412.2,Child Safety Seats,
,22-412.3,Mandatory Seat Belt Use,
,22-412.4,Seat Belts or Restraining Devices in Emergency Vehicles,
,22-414.1,Video Display Equipment,
,23-1.1,Definitions,
,23-1.2,Automotive Safety Enforcement Division,
,23-1.3,Licensing of Inspection Stations,
,23-1.4,Minimum Standards for Equipment,
,23-1.5,Safety Equipment Repair Order for Defective Equipment,
,23-1.6,Inspection Certificate Required on Transfer of Used Vehicles,
,23-1.7,Inspection Certificate Required for Vehicle to Be Titled and Registered,
,23-1.8,Division to Prepare and Supply Inspection Certificate Forms,
,23-1.9,Prohibited Activities,
,23-2.1,Definitions,
,23-2.2,Emissions Control Program for Metropolitan Baltimore Intrastate Air Quality Control Region and Maryland Portion of National Capital Interstate Air Quality Control Region,
,23-2.3,Establishment of Facilities for Annual or Biennial Tests,
,23-2.4,Inspections to Be Conducted by Facilities,
,23-2.5,Inspection Fees,
,23-2.6,Duty to Have Vehicle Inspected and Tested; Vehicles to Meet Standards and Requirements,
,23-2.7,"Rules and Regulations for Implementation, Administration, Regulation, and Enforcement of Subtitle; Required Progress Reports",
,23-2.9,Fraud or Misrepresentation,
,23-3.1,Definitions,
,23-3.2,"Requirements for Inspection, Maintenance, and Repair",
,23-3.3,Adoption of Rules and Regulations,
,23-3.4,Public Education and Awareness Programs,
,23-3.5,Suspension of Registration,
,23-4.1,Definitions,
,23-4.2,Established,
,23-4.3,Consent and Submission to Testing,
,23-4.4,Failure to Pass Emissions Test,
,23-103.1,Inspection Mechanics,
,23-108.1,Transfer of Used Motor Vehicle -- Submission of Inspection Certificate,
,23-206.1,Exemption of Ambulances,
,23-206.2,Exemption From Inspection for Certain Vehicles,
,23-206.4,Zero-Emission Vehicles,
,24-1.0,Registration of Vehicles According to Permissible Gross Weight,
,24-1.1,Scope and Effect of Subtitle,
,24-1.1,Weighing and Measuring Vehicles,
,24-1.2,Width of Vehicles,
,24-1.2,Permits for Excess Size and Weight,
,24-1.3,Projecting Loads on Passenger Vehicles,
,24-1.3,Rules and Regulations for Movement of Oversize and Overweight Vehicles,
,24-1.4,Height of Vehicles and Loads,
,24-1.4,Jurisdiction and Appeals in Offenses Involving Vehicle Weights,
,24-1.5,Load Extensions,
,24-1.6,Securing Loads on Vehicles -- in General,
,24-1.7,Trailers and Towed Vehicles,
,24-1.8,Load Limits of Axles,
,24-1.9,Gross Weight of Vehicles,
,24-2.1,Definitions,
,24-2.2,Damage of Highways Prohibited,
,24-2.3,Authority of State Highway Administration to Preserve State Highways,
,24-2.4,Authority of Local Authorities and State Highway Administration to Restrict Use of Endangered Highway,
,24-2.5,Authority of State Highway Administration to Close Bridges,
,24-2.6,Authority of Local Authorities or State Highway Administration to Preserve Bridges and Culverts,
,24-2.7,Testing of Trucks on State Highways,
,24-2.8,Liability for Damage to Highway or Structure,
,24-2.9,Truck Traffic Adversely Affecting Residential Community,
,24-3.1,Definitions,
,24-3.2,Applicability of Subtitle,
,24-3.3,Prohibited Locations,
,24-3.4,Violations,
,24-4.1,General Consideration,
,24-104.1,Length of Vehicles and Loads,
,24-104.2,Length of Semitrailer Operated in Combination With Truck Tractors,
,24-106.1,Securing Loads on Vehicles -- Loose Material,
,24-106.2,"Securing Loads on Vehicles -- Transportation of Lumber, Pipe, Steel, or Similar Materials",
,24-106.3,Securing Loads on Vehicles -- Persons Liable for Violations,
,24-111.1,Removal of Excess Weight,
,24-111.2,Weighing and Measuring Stations,
,24-111.3,Vehicle Height Monitoring System,
,24-112.1,Reciprocal Agreements,
,24-113.1,Weight Limitations for Vehicles Carrying International Freight,
,24-113.2,Exceptional Hauling Permit for Farm Products,
,24-113.3,Indivisible Load,
,25-1.0,Regulations Relative to School Vehicles,
,25-1.1,Applicability of Title 21 Definitions,
,25-1.1,Motor Carrier Safety Inspections; Utility and Transportation Emergencies,
,25-1.2,Powers of Local Authorities,
,25-1.2,Cvisn Transponders,
,25-1.3,Race-Based Traffic Stops,
,25-1.4,State Highway Administration to Adopt Sign Manual,
,25-1.4,Targeting Motorcycles Only at Checkpoints Prohibited; Exceptions,
,25-1.5,Placement of Traffic Control Devices on State Highways,
,25-1.5,"Removing, Preserving, and Storing Vehicles",
,25-1.6,Placement of Local Traffic Control Devices,
,25-1.7,Authority to Require Pedestrian Obedience to Traffic Control Signals,
,25-1.9,"Authority to Designate Through Highways and ""Stop"" and ""Yield"" Intersections",
,25-2.1,Definitions,
,25-2.2,Abandonment of Vehicles Prohibited; Presumption of Ownership,
,25-2.3,Police May Take Abandoned Vehicles Into Custody,
,25-2.4,Notice by Police to Last Known Registered Owner and Secured Parties -- in General,
,25-2.5,Notice by Police to Last Known Registered Owner and Secured Parties -- Notice by Publication,
,25-2.6,Effect of Failure to Reclaim Vehicle,
,25-2.7,Sale of Vehicle; Disposition of Proceeds,
,25-2.8,Special Provisions for Vehicles Abandoned in Garages,
,25-2.9,Disposition of Vehicles to Dismantler and Recycler or Scrap Processor -- in General,
,25-3.1,Potomac River Bridges Towing Compact,
,25-101.1,Statewide Application of Maryland Vehicle Law; Effect of Local Regulation,
,25-102.1,Off-the-Road Motorcycles,
,25-102.2,Motorized Passenger Scooter -- Use in Ocean City,
,25-104.1,Restrictions on Sale of Traffic Control Devices,
,25-106.1,Restrictions on Placement of Traffic Control Devices,
,25-111.1,Minimum Security Requirements for Commercial Motor Vehicles,
,25-206.1,Liability for Costs of Preservation and Storage of Vehicle,
,25-206.2,Restrictions on Vehicle Registration for Liability Incurred Under  25-206.1,
,25-207.1,Abandoned or Impounded Vehicles With Removed or Defaced Serial Numbers,
,26-1.1,Parties to an Offense,
,26-1.2,Offense by Person Owning or Controlling Vehicle,
,26-1.3,"Application of Titles 20 Through 24 to Federal, State, and Local Vehicles",
,26-2.1,Authority to Charge; Issuance and Contents of Traffic Citations,
,26-2.2,Power of Arrest,
,26-2.3,Signature of Person Charged Required on Citation,
,26-2.4,Compliance With Traffic Citations; Powers of the Court on Noncompliance,
,26-2.6,Noncompliance With Traffic Citation Issued Under Federal Law,
,26-2.7,Sanctions for Noncompliance With Foreign State Law,
,26-3.1,Power of Political Subdivisions and State Agencies to Regulate Parking,
,26-3.2,Citations for Parking Violations,
,26-3.3,Election to Pay or Stand Trial; Presence of Officer at Trial,
,26-3.4,Adoption of Procedures by Chief Judge,
,26-3.5,Effect of Parking Violation on Vehicle Registration,
,26-3.6,"Reimbursement of Owner of Vehicle Wrongfully Towed, Impounded, or Stored",
,26-4.0,Fees for Sheriffs,
,26-4.1,Venue,
,26-4.1,Witness Fees for Officers Prohibited,
,26-4.2,Release of Defendant if Commissioner Not Available,
,26-4.2,Conflict With Courts Article,
,26-4.3,Bail,
,26-4.4,Guaranteed Arrest Bond Certificate,
,26-4.5,Lesser Included Offenses Under  21-901.1 and 21-902,
,26-4.7,Disposition and Records of Traffic Citations,
,26-4.8,Cancellation or Solicitation of Cancellation of Traffic Citation,
,26-4.9,When Copy of Citation Is Sufficient Charging Document; Case to Be Tried Only on Proper Charging Document,
,26-301.1,Motorcycle Parking,
,26-405.1,Disposition of Penalty Deposit,
